Node,SIR
94,2.263
683,1.993
765,1.62
948,1.523
112,4.315
310,1.73
761,1.813
860,1.842
872,1.659
474,2.828
910,1.734
933,1.859
465,2.215
693,1.519
107,2.798
186,3.572
441,2.265
508,1.591
669,1.669
807,1.83
70,2.825
331,2.351
728,1.634
128,2.358
129,2.7
155,2.237
172,2.399
260,2.477
308,2.111
322,2.279
327,1.983
342,2.291
375,2.336
469,2.321
654,1.97
682,2.25
995,1.65
287,1.846
290,2.399
311,2.854
689,1.518
908,1.741
926,1.835
191,2.199
461,1.872
521,2.259
559,2.143
618,1.854
84,2.208
403,2.487
438,1.469
806,1.911
994,1.601
160,2.517
417,2.451
589,2.279
661,1.809
970,2.172
697,1.962
974,1.849
229,2.215
115,2.735
146,2.964
169,3.58
199,2.836
319,1.804
609,1.736
615,2.111
783,2.633
188,1.985
351,2.626
411,1.825
698,1.876
747,1.881
801,1.903
889,2.029
895,2.24
916,1.739
330,2.276
863,1.643
881,1.882
283,2.744
365,1.946
541,1.665
613,2.138
984,1.662
147,3.683
263,1.96
270,1.923
514,2.052
643,1.971
673,2.357
951,1.943
955,2.042
273,2.226
278,2.153
281,2.227
824,2.171
833,1.825
404,2.081
544,1.996
292,3.195
168,2.999
182,2.169
237,2.193
398,2.047
414,2.745
482,2.252
516,2.523
536,1.97
556,1.946
784,2.114
842,2.432
847,2.304
853,2.284
867,2.43
891,2.51
102,2.832
124,2.434
275,1.582
280,2.322
655,1.686
288,2.031
592,1.744
940,1.732
187,2.252
244,1.577
282,2.345
354,2.007
492,2.169
512,2.327
518,2.234
732,1.898
754,2.063
826,2.015
999,1.902
528,1.653
912,1.502
167,2.281
406,1.406
484,1.795
517,1.779
397,2.39
626,1.698
598,1.833
703,1.643
884,1.688
767,1.445
935,1.471
590,1.675
89,4.125
455,1.761
857,1.956
271,2.362
944,1.613
162,2.318
307,2.067
353,2.104
714,1.855
749,1.587
774,1.682
939,1.732
367,1.813
577,1.591
726,1.695
992,1.93
148,2.157
201,2.902
679,1.957
133,2.426
575,1.85
579,2.061
740,1.85
745,1.926
838,1.873
865,1.682
313,1.595
868,1.543
369,2.359
200,1.909
213,2.793
510,1.823
805,1.487
810,1.709
224,3.235
262,2.016
360,1.634
936,1.551
193,1.777
246,2.735
656,1.737
284,1.694
302,1.843
318,1.63
334,2.187
428,1.879
652,2.002
846,1.683
335,1.806
557,1.792
904,1.421
614,1.625
161,3.553
238,2.18
629,1.828
852,1.768
285,2.076
286,1.915
321,2.315
501,1.889
554,2.077
886,1.895
552,1.601
717,1.623
771,1.477
836,1.932
982,1.669
295,1.796
303,2.106
410,1.853
503,2.018
670,1.619
731,1.918
793,1.857
279,2.389
985,1.547
894,1.655
214,1.868
315,1.927
442,1.809
706,1.509
744,2.014
634,1.462
218,1.607
239,1.833
178,2.269
343,1.853
909,1.527
971,1.774
979,2.196
623,1.811
692,1.823
226,2.021
376,1.689
489,1.933
534,2.322
543,2.287
718,1.948
391,1.514
794,1.478
163,2.128
587,1.813
763,1.71
542,1.99
341,2.066
759,1.564
184,3.674
415,1.87
854,1.895
425,1.383
949,1.549
751,1.484
595,1.552
883,2.269
566,2.12
785,2.174
644,1.511
235,1.681
409,2.299
431,2.362
551,1.859
570,2.283
680,1.427
815,1.704
259,2.037
298,2.233
467,1.762
560,1.76
704,1.718
840,1.913
449,1.477
527,2.031
627,2.025
927,1.662
198,2.138
419,2.165
468,1.99
473,1.798
733,1.919
424,1.716
233,1.849
478,1.626
603,1.481
421,1.783
476,1.707
742,2.082
812,1.793
457,2.015
535,1.716
630,1.548
203,2.017
475,2.051
601,1.844
861,1.526
567,1.488
835,1.657
568,1.52
830,1.637
874,1.469
332,1.763
665,1.754
958,1.533
537,1.565
660,1.52
359,3.856
221,1.826
828,1.589
678,1.625
887,1.505
405,2.099
