,Dataset,sir_a_value_Train_Data,Algo,Tau,Dense,MaxPooling,Kernel_size,learning_rate
0,BA-8k,1.5,LCNN_Ker_2_Max_2_dense_1024lear_0.0005,"[0.8263864858107262, 0.8373622327790973, 0.8389626828353544, 0.8462620327540942, 0.8433811726465807, 0.8461805225653205, 0.848389861232654, 0.8510750718839855, 0.853206150768846, 0.857373859232404]",1024,2,2,0.0005
1,Gnutella,1.5,LCNN_Ker_2_Max_2_dense_1024lear_0.0005,"[0.8309151293196805, 0.8478717593897462, 0.8688195859075959, 0.8837907045117369, 0.8962815136371295, 0.9058871454022263, 0.9093900455426236, 0.9088144319388562, 0.9061511632538434, 0.9023494884813628]",1024,2,2,0.0005
